site_alt_plotgroup_id,site_plot_id,x,y,long,lat,site,plot,alt,inclin_down,inclin_dir,year,x_stere,y_stere,tempjja_ts_5,tempmax_ts_5,tempjja_ts_10,tempmax_ts_10,tempjja_ts_15,tempmax_ts_15,tempjja_ts_20,tempmax_ts_20,tempjja_ts_30,tempmax_ts_30,tempmin_ts_5,tempmin_ts_10,tempmin_ts_15,tempmin_ts_20,tempmin_ts_30,tempcont_ts_5,tempcont_ts_10,tempcont_ts_15,tempcont_ts_20,tempcont_ts_30,precipjja_ts_5,precipjja_ts_10,precipjja_ts_15,precipjja_ts_20,precipjja_ts_30,insoljja_ts_5,insoljja_ts_10,insoljja_ts_15,insoljja_ts_20,insoljja_ts_30,twi,ndwi,field_rad,twi_90m,slope_90m,asp_90m,dem_rad,ndvi,nir,swir,plotgroup,site_alt_id,taxon,cover,compet
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Betula nana,0,0
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Cassiope tetragona,0,14.166666666666666
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Empetrum nigrum,0.5466666666666666,0.5
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Rhododendron groenlandicum,0,0
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Rhododendron tomentosum,0,0
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Phyllodoce caerulea,0,14.166666666666666
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Salix glauca,0,0
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Salix arctophila,0,14.166666666666666
1_100_1,1_P163,461026.5471833333,7123356.203833333,-51.803553,64.2341815,1,P163,100,17.333333333333332,225.5,2011,-336115.3727123285,-2817269.631061897,10.438359387715657,11.86229944229126,10.22318328221639,11.349721765518188,10.067488114039104,11.113522688547771,9.655987377961477,10.804604697227479,9.43655030462477,10.659961684544882,-10.927905511856078,-11.971734499931337,-12.396498187383017,-13.596131789684296,-14.187832347551982,22.79020495414734,23.321456265449523,23.510020875930785,24.400736486911775,24.84779403209686,180.7854226231575,163.00407496094704,206.18568344513574,200.21528697907925,215.24340646068254,183.78893127441407,183.78525060017904,183.7814685397678,183.7782071431478,183.83134477403428,1.7308965921401978,-0.20821866393089294,0.49187874455013053,5.413611888885498,6.6541889905929565,165.5001163482666,0.6463897050943249,0.26964937150478363,1566.7302890660048,2375.1748074192183,1,1_100,Vaccinium uliginosum,0.02,0
1_100_2,1_P169,460602.86035,7123932.252,-51.812439166666664,64.239302,1,P169,100,25.833333333333332,206.83333333333334,2011,-336483.20322008384,-2816639.012799094,10.500697135925293,11.932032267252605,10.286568090650771,11.419304625193279,10.13039354748196,11.175820689731173,9.71996907658047,10.865895493825278,9.500141474052711,10.719032923380535,-10.69621540705363,-11.751147572199503,-12.170492055681017,-13.373374867439269,-13.966963497797648,22.628247674306234,23.17045219739278,23.34631274541219,24.239270361264545,24.68599642117818,183.68273921807608,165.29979427258175,209.41731379561955,203.12683217326799,218.33177267048094,192.6491221110026,192.64551442464193,192.64180467393663,192.63867670694987,192.69069451226127,1.6992404858271282,-0.1620678553978602,0.7044239077498451,4.799820741017659,11.462913513183594,186.35391235351562,0.741027555322066,0.3255445063114166,1941.7236641774239,2687.8445718824605,2,1_100,Betula nana,0,1.8333333333333333
