"","PC1","PC2","PC3","PC4","PC5","PC6","species"
"2403",-0.0643325227691743,0.793439659026267,0.841884129515493,0.559242237382824,0.156455133500792,0.399500443842887,"Achillea millefolium"
"4112",2.91728057611529,-0.916049652302102,-0.132769079240775,-0.0742810863180238,-0.598276021089056,0.0617248247756756,"Adoxa moschatellina"
"7221",0.0762198936664944,-0.603113005729139,1.40408848438138,0.48982647070406,0.356909284758592,-1.07934792466325,"Agrostis canina"
"8100",0.428569123435167,-0.210044887531826,1.57812035256203,0.41518412995645,0.136583338408778,-0.712755337092271,"Agrostis capillaris"
"1066",-1.13887775892444,-1.3164102429557,0.372887509804866,-0.305964270242219,-0.0970092520810163,-0.208630180314664,"Agrostis rupestris"
"11266",0.52597495025309,-0.261031518548045,1.4329068762465,1.1711189907662,0.208676923625435,-0.873756923593302,"Agrostis stolonifera"
"12166",-0.115061430825532,-0.27085605210248,0.742903290768533,1.31165152977924,0.00369543062542108,-0.0973459068226881,"Agrostis vinealis"
"15307",1.38184310329848,0.877862514653608,0.620898791825447,0.612433487339116,-0.46735671565443,0.0655181562792965,"Alchemilla xanthochlora"
"1714",-2.47987897655551,1.84328399608612,0.154823776360808,-0.965153726297934,-0.721757774989705,-0.159216487461023,"Alopecurus alpinus"
"18365",0.95789653014725,1.48736894006126,0.743193015644994,0.426553037647002,0.250540032566402,-0.927374168242622,"Alopecurus pratensis"
"2094",-2.67362624148829,0.485965970491592,-0.477387461697909,0.47461413463379,0.131467365809987,0.291060446032238,"Andromeda polifolia"
"27626",1.49473143395554,0.928467153374787,-1.27176281965249,-0.0678568502812547,-0.0026118640549139,0.337353855503777,"Anemone narcissiflora"
"33262",-1.31485920733992,-0.635467803153151,0.925789665734001,-0.378804673646899,-0.111881381051621,0.115248932805299,"Antennaria dioica"
"3983",0.148205355464006,0.561460857851673,0.366577841744425,0.101113264839546,-0.181795330324777,-0.926274419051155,"Anthoxanthum odoratum"
"4695",1.50347508581069,-1.21759992098841,0.438598900718285,-0.277929173597083,0.907277299706986,0.0464163503251156,"Arabis alpina"
"49100",-1.46189254325145,1.24864255316003,1.59473702143475,-0.763896596371358,-0.298593860624399,1.17801490703305,"Arctagrostis latifolia"
"51100",-1.81344515019529,2.29126514346225,-1.32258917166204,-1.16447862472759,0.529642256039715,0.868416641030861,"Arctostaphylos uva-ursi"
"52100",-1.32379018091236,0.595682102195483,-1.27299633046649,-0.651568431703086,-0.723049970117868,-0.251004147684117,"Arctous alpina"
"5588",-0.134699928462422,-0.176081064335501,-0.317184105977766,-0.764468115419051,0.660894487940924,0.542278631831112,"Armeria maritima"
"67100",1.60626493067885,-0.582517643131316,-1.28051033790531,0.545472511898026,0.474940957785361,-0.836105506272612,"Astragalus alpinus"
"69100",-0.10073994860518,-0.0317025303295959,0.419230245278599,0.245798322045484,0.0590932235378034,-0.221506678722166,"Bartsia alpina"
"7364",-1.46677065749303,0.639082989864286,0.0171704088008098,0.84986913029918,0.176386376384821,-0.606353038709934,"Betula nana"
"7418",0.490082555975329,1.37027954341634,1.08153905205911,0.496166103130485,0.313670663943048,0.523695422680552,"Betula pubescens"
"8017",0.911256504772868,2.35979444156459,0.404389798809865,0.0256398318382649,0.33031224636929,-0.798928194907437,"Bromus inermis"
"8281",-0.223331833357738,0.521735018580887,1.28401014586206,-0.0246462127294821,-1.17716965774345,-0.556703646293436,"Calamagrostis canadensis"
"8480",-1.34105902544738,1.08169422204675,0.532987999387645,-0.441527947310279,-0.647504295806572,-0.294110416972974,"Calamagrostis lapponica"
"87100",-2.87739960991382,-1.03892843916948,1.10838266734617,-0.122624712934357,1.13601055267438,-1.02011046262947,"Calluna vulgaris"
"89100",2.94661736349201,0.41099916462345,0.157819099775365,0.0903745017753826,-0.263632155580654,0.603231163502925,"Caltha palustris"
"9394",-0.314508502889338,-0.406901307130347,1.36698757994919,0.264312874437667,0.473991526821183,-0.541805805586208,"Campanula rotundifolia"
"94100",0.0958060855694811,-0.55612594830395,0.639743440282168,0.579881176122249,0.980137512829512,-0.255957993402697,"Campanula scheuchzeri"
"97100",1.39773781799461,-2.24113782876281,-0.624047474468554,0.350709367692366,0.777631625809253,0.210325546091352,"Cardamine bellidifolia"
"10179",-0.431807674745494,1.36403805034751,-0.0227847451443382,0.856308646892823,-0.481962431997383,-0.260379882674795,"Carex aquatilis"
"102100",0.1700986687848,0.968358273631486,-0.210926732141432,0.805835379017335,-0.159465644944642,-0.272732693796597,"Carex atrata"
"104100",-0.2467784597656,0.232123674406251,-0.295179860796202,0.32128031824988,-0.534724352986653,-0.277576690534781,"Carex bigelowii"
"10621",0.846676816244592,-0.130057522555438,0.420189174820891,-0.118552588850806,-0.522362042699802,-0.515060135013469,"Carex canescens"
"110100",-1.96007309566504,1.03086172782317,-1.02939037370556,-0.83603274123955,0.0155374204756865,0.0422570794514769,"Carex curvula"
"111100",-1.62182458966982,0.678560178208603,-0.317551962325655,0.108174616079095,0.571469674082198,-0.395943438845344,"Carex dioica"
"115100",-0.237527373844856,1.43987400663887,0.21201054586698,-0.181741637231585,-0.354875899986776,-0.180999527811825,"Carex flacca"
"126100",0.426321035296787,1.0362374967755,0.18628289152112,0.258656344772364,-0.366430892786143,-0.486197221052077,"Carex nigra"
"131100",-0.116927777612799,1.86499147573806,0.260053725486154,-0.583242478082446,-0.497587610932736,-0.988792951905259,"Carex panicea"
"135100",0.24120038690902,0.372332240949634,-0.24283509276263,-0.367872436608178,-0.1811331400761,-0.652125194026541,"Carex pilulifera"
